Revocação,Precisão,stem
0.0,0.8266082542597694,no stemmer
0.1,0.6039388492015172,no stemmer
0.2,0.45699522547137544,no stemmer
0.3,0.31566247057551167,no stemmer
0.4,0.24228604064040152,no stemmer
0.5,0.18858561934817786,no stemmer
0.6,0.13431880943965477,no stemmer
0.7,0.09088154672074718,no stemmer
0.8,0.06196228568777049,no stemmer
0.9,0.045074850267110195,no stemmer
1.0,0.014616361647102222,no stemmer
0.0,0.8671270692461157,stemmer
0.1,0.6433232982781372,stemmer
0.2,0.5143867521798589,stemmer
0.3,0.338211468831103,stemmer
0.4,0.2639468396951673,stemmer
0.5,0.19879031929605973,stemmer
0.6,0.1451195477057767,stemmer
0.7,0.09770028716802426,stemmer
0.8,0.06803025795663081,stemmer
0.9,0.04754419132385579,stemmer
1.0,0.014942145252193409,stemmer
