QueryNumber,Precision@r_nostem,Precision@r_stem,Diferença entre Precision@r com e sem stemming
1,0.3235294117647059,0.29411764705882354,-0.02941176470588236
2,0.2857142857142857,0.2857142857142857,0.0
3,0.2558139534883721,0.2558139534883721,0.0
4,0.0,0.2222222222222222,0.2222222222222222
5,0.2824427480916031,0.29770992366412213,0.015267175572519054
6,0.2916666666666667,0.3333333333333333,0.04166666666666663
7,0.17857142857142858,0.25,0.07142857142857142
8,0.09090909090909091,0.09090909090909091,0.0
9,0.2,0.2,0.0
10,0.4,0.36,-0.040000000000000036
11,0.5,0.45454545454545453,-0.04545454545454547
12,0.0,0.0,0.0
13,0.2916666666666667,0.2916666666666667,0.0
14,0.23636363636363636,0.2727272727272727,0.03636363636363635
15,0.25961538461538464,0.2692307692307692,0.009615384615384581
16,0.3055555555555556,0.28888888888888886,-0.01666666666666672
17,0.16363636363636364,0.16363636363636364,0.0
18,0.5714285714285714,0.47619047619047616,-0.09523809523809523
19,0.09090909090909091,0.045454545454545456,-0.045454545454545456
20,0.5652173913043478,0.5652173913043478,0.0
21,0.2,0.28,0.08000000000000002
22,0.22857142857142856,0.2714285714285714,0.042857142857142844
23,0.17142857142857143,0.05714285714285714,-0.1142857142857143
24,0.12903225806451613,0.0967741935483871,-0.03225806451612903
25,0.2549019607843137,0.3137254901960784,0.05882352941176472
26,0.3333333333333333,0.3333333333333333,0.0
27,0.18181818181818182,0.18181818181818182,0.0
28,0.23529411764705882,0.2549019607843137,0.019607843137254888
29,0.18181818181818182,0.1590909090909091,-0.022727272727272735
30,0.35294117647058826,0.23529411764705882,-0.11764705882352944
31,0.2413793103448276,0.27586206896551724,0.03448275862068964
32,0.16666666666666666,0.16666666666666666,0.0
33,0.40350877192982454,0.45614035087719296,0.05263157894736842
34,0.358974358974359,0.3333333333333333,-0.02564102564102566
35,0.35714285714285715,0.35714285714285715,0.0
36,0.2222222222222222,0.2222222222222222,0.0
37,0.42857142857142855,0.4897959183673469,0.06122448979591838
38,0.07547169811320754,0.2641509433962264,0.18867924528301888
39,0.38271604938271603,0.4074074074074074,0.024691358024691357
40,0.2191780821917808,0.2191780821917808,0.0
41,0.3333333333333333,0.4,0.06666666666666671
42,0.2765957446808511,0.2553191489361702,-0.021276595744680882
43,0.4489795918367347,0.42857142857142855,-0.020408163265306145
44,0.42142857142857143,0.45,0.02857142857142858
45,0.25,0.25,0.0
46,0.2222222222222222,0.2777777777777778,0.05555555555555558
47,0.1,0.15,0.04999999999999999
48,0.2,0.23333333333333334,0.033333333333333326
49,0.3333333333333333,0.3611111111111111,0.02777777777777779
50,0.2,0.24,0.03999999999999998
51,0.27800829875518673,0.4107883817427386,0.13278008298755184
52,0.5,0.5,0.0
53,0.30434782608695654,0.30434782608695654,0.0
54,0.41935483870967744,0.3709677419354839,-0.04838709677419356
55,0.041666666666666664,0.16666666666666666,0.125
56,0.09375,0.15625,0.0625
57,0.47058823529411764,0.47058823529411764,0.0
58,0.3473684210526316,0.3894736842105263,0.0421052631578947
59,0.18620689655172415,0.21379310344827587,0.027586206896551724
60,0.08823529411764706,0.058823529411764705,-0.02941176470588236
61,0.34285714285714286,0.34285714285714286,0.0
62,0.2847222222222222,0.24305555555555555,-0.04166666666666666
63,0.10256410256410256,0.1794871794871795,0.07692307692307693
64,0.14,0.16,0.01999999999999999
65,0.24468085106382978,0.24468085106382978,0.0
66,0.20634920634920634,0.23809523809523808,0.031746031746031744
67,0.35714285714285715,0.21428571428571427,-0.14285714285714288
68,0.044444444444444446,0.15555555555555556,0.1111111111111111
69,0.3333333333333333,0.4,0.06666666666666671
70,0.47058823529411764,0.47058823529411764,0.0
71,0.3333333333333333,0.3333333333333333,0.0
72,0.46153846153846156,0.46153846153846156,0.0
73,0.2222222222222222,0.2777777777777778,0.05555555555555558
74,0.2857142857142857,0.2857142857142857,0.0
75,0.38095238095238093,0.38095238095238093,0.0
76,0.35294117647058826,0.35294117647058826,0.0
77,0.10975609756097561,0.10975609756097561,0.0
78,0.2077922077922078,0.3116883116883117,0.10389610389610388
79,0.18604651162790697,0.20930232558139536,0.023255813953488386
80,0.3235294117647059,0.3235294117647059,0.0
81,0.25,0.25,0.0
82,0.14516129032258066,0.25806451612903225,0.1129032258064516
83,0.25,0.28125,0.03125
84,0.5625,0.5625,0.0
85,0.06451612903225806,0.12903225806451613,0.06451612903225806
86,0.3617021276595745,0.3404255319148936,-0.021276595744680882
87,0.10526315789473684,0.10526315789473684,0.0
88,0.07142857142857142,0.21428571428571427,0.14285714285714285
89,0.4117647058823529,0.35294117647058826,-0.05882352941176466
90,0.5,0.4642857142857143,-0.0357142857142857
91,0.27960526315789475,0.27631578947368424,-0.003289473684210509
92,0.31092436974789917,0.36134453781512604,0.05042016806722688
94,0.27906976744186046,0.27906976744186046,0.0
95,0.3333333333333333,0.3333333333333333,0.0
96,0.4166666666666667,0.3333333333333333,-0.08333333333333337
97,0.36363636363636365,0.36363636363636365,0.0
98,0.2,0.2,0.0
99,0.6,0.6,0.0
100,0.2727272727272727,0.2727272727272727,0.0
